city,state,cluster
Warner Robins,GA,0
Warwick,RI,0
Hanford,CA,0
Normal,IL,0
Iowa City,IA,0
St. Cloud,MN,0
Oshkosh,WI,0
Santa Fe,NM,0
Auburn,AL,0
Schenectady,NY,0
Janesville,WI,0
Chapel Hill,NC,0
Grand Junction,CO,0
Greenwood,IN,0
Vineland,NJ,0
Madera,CA,0
St. George,UT,0
Napa,CA,0
Hendersonville,TN,0
Troy,NY,0
Newark,OH,0
Coeur d'Alene,ID,0
Summerville,SC,0
Bellevue,NE,0
Kingsport,TN,0
Burlington,NC,0
Southaven,MS,0
Cambridge,MA,1
Medford,MA,1
Malden,MA,1
Pleasanton,CA,1
Lowell,MA,1
Newton,MA,1
Somerville,MA,1
Alameda,CA,1
Union City,CA,1
Dublin,CA,1
Framingham,MA,1
Waltham,MA,1
San Leandro,CA,1
Berkeley,CA,1
Livermore,CA,1
Sunnyvale,CA,2
Coral Springs,FL,2
Miramar,FL,2
Hollywood,FL,2
Pembroke Pines,FL,2
Fort Lauderdale,FL,2
Gardena,CA,3
El Monte,CA,3
Downey,CA,3
Inglewood,CA,3
West Covina,CA,3
Montebello,CA,3
Norwalk,CA,3
Pico Rivera,CA,3
Redondo Beach,CA,3
Burbank,CA,3
Compton,CA,3
Lynwood,CA,3
South Gate,CA,3
Baldwin Park,CA,3
Bellflower,CA,3
Lakewood,CA,3
Alhambra,CA,3
Whittier,CA,3
Carson,CA,3
Monterey Park,CA,3
Santa Monica,CA,3
Hawthorne,CA,3
Huntington Park,CA,3
Arcadia,CA,3
Cerritos,CA,3
Paramount,CA,3
Rosemead,CA,3
Glendora,CA,3
Diamond Bar,CA,3
Palatine,IL,4
Schaumburg,IL,4
Berwyn,IL,4
Des Plaines,IL,4
Arlington Heights,IL,4
Orland Park,IL,4
Tinley Park,IL,4
Oak Lawn,IL,4
Skokie,IL,4
Mount Prospect,IL,4
Hoffman Estates,IL,4
Oak Park,IL,4
Cicero,IL,4
Evanston,IL,4
Centennial,CO,5
Hoover,AL,5
Wyoming,MI,5
Kentwood,MI,5
Pawtucket,RI,5
Cranston,RI,5
Union City,NJ,5
Bayonne,NJ,5
Lakeland,FL,5
Broken Arrow,OK,5
West New York,NJ,5
Lee's Summit,MO,5
Hoboken,NJ,5
Independence,MO,5
