,city,state_name_x,state_id,lat,lng,city_population,county_fips,county,county_population,density,timezone,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_voters,pct_poverty,pct_child_poverty,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,covid_deaths_per_100k,covid_case_to_death_pct,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,wikipedia_summary,cvap,foreignborn_pct,age29andunder_pct,age65andolder_pct,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax,state_name_y
0,New York,New York,NY,40.6943,-73.9249,8336817,36061,New York County,1653877,10715,America/New_York,47.2914249,52.708575100000004,26.1,46.8,12.5,0.1,11.9,0.0,71.586823,17.3,23.1,6.2,60.0,13.9,20.0,2.2,3.8,6.0,1.8,59.4,20.4,5.6,6.7,83.8,8.3,7.8,0.2,79781,1158,69529,945,31.8,2842.171989,67.83285746,2.3866556180000003,56.4,46.9,48.6,64.1,"New York City (NYC), often called simply New York, is the most populous city in the United States. With an estimated 2019 population of 8,336,817 distributed over about 302.6 square miles (784 km2), New York City is also the most densely populated major city in the United States. Located at the southern tip of the U.S. state of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban landmass. With almost 20 million people in its metropolitan statistical area and approximately 23 million in its combined statistical area, it is one of the world's most populous megacities.",1165065,28.8934054,36.439694700000004,14.38370533,6.869787081,12.99628401,39.56536037,1.784063937,17.13464359,0.0,1,9.706266192000001,86.55692074,0.036231205,11811.00819,NY
1,Los Angeles,California,CA,34.1139,-118.4068,3979576,6037,Los Angeles County,10105722,3276,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Los Angeles ( (listen); Spanish: Los Ángeles; Spanish for 'The Angels'), officially the City of Los Angeles and often known by its initials L.A., is the largest city in California. With an estimated population of nearly four million people, it is the second-most populous city in the United States (after New York City) and the third-most populous city in North America (after Mexico City and New York City). Los Angeles is known for its Mediterranean climate, ethnic diversity, Hollywood entertainment industry, and its sprawling metropolis.
Los Angeles lies in a basin in Southern California, adjacent to the Pacific Ocean, with mountains as high as 10,000 feet (3,000 m), and deserts.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.053824817000000004,6782.028673000001,CA
2,Long Beach,California,CA,33.7981,-118.1675,462628,6037,Los Angeles County,10105722,3523,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Long Beach is a city in the U.S. state of California located within the Los Angeles metropolitan area. It is the 43rd most populous city in the United States, with a population of 462,257 in 2010. A charter city, Long Beach is the 7th most populous city in California.
Incorporated in 1897, Long Beach lies in Southern California, more precisely in the southern part of Los Angeles County.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.066151185,6782.028673000001,CA
3,Santa Clarita,California,CA,34.4175,-118.4964,212979,6037,Los Angeles County,10105722,1162,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Santa Clarita () is the third-largest city in Los Angeles County, and the 21st-largest in the state of California. As of the 2010 census it had a population of 176,320, and in 2019 the population was estimated to be 212,979. The city has gained much of this rapid population increase by annexing numerous unincorporated areas. It is located about 30 miles (48 km) northwest of downtown Los Angeles, and occupies most of the Santa Clarita Valley in northwestern Los Angeles County.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.029469716,6782.028673000001,CA
4,Glendale,California,CA,34.1818,-118.2468,199303,6037,Los Angeles County,10105722,2525,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Glendale  is a city in Los Angeles County, California, United States. As of the 2010 census it had a population of 191,719, and in 2019 the population was estimated at 204,765, making it the fourth-largest city in Los Angeles County and the 23rd-largest city in California. It is located about 10 miles (16 km) north of downtown Los Angeles.
Glendale lies in the southeastern end of the San Fernando Valley, bisected by the Verdugo Mountains, and is a suburb in the Los Angeles metropolitan area.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.035724525,6782.028673000001,CA
5,Lancaster,California,CA,34.6935,-118.1753,157601,6037,Los Angeles County,10105722,645,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Lancaster  is a charter city in northern Los Angeles County, in the Antelope Valley of the western Mojave Desert in Southern California. As of the 2010 census it had a population of 156,633, and in 2019 the population was estimated at 157,601, making Lancaster the 33rd largest city in California. Lancaster is part of a twin city complex with its southern neighbor Palmdale, and together they are the principal cities within the Antelope Valley region.Lancaster is located approximately 70 miles (110 km) north (via I-5 and SR 14) of downtown Los Angeles, and is near the Kern County line. It is separated from the Los Angeles Basin by the San Gabriel Mountains to the south, and from Bakersfield and the San Joaquin Valley by the Tehachapi Mountains to the north.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.053740091,6782.028673000001,CA
6,Palmdale,California,CA,34.5944,-118.1057,155079,6037,Los Angeles County,10105722,564,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Palmdale is a city in northern Los Angeles County in the U.S. state of California. The city lies in the Antelope Valley region of Southern California. The San Gabriel Mountains separate Palmdale from the Los Angeles Basin to the south.
On August 24, 1962, Palmdale became the first community in the Antelope Valley to incorporate.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.04277847,6782.028673000001,CA
7,Pomona,California,CA,34.0585,-117.7626,151691,6037,Los Angeles County,10105722,2548,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Pomona () is a city in Los Angeles County, California, United States. Pomona is located in the Pomona Valley, between the Inland Empire and the San Gabriel Valley. As of the 2010 United States Census, the city's population was 149,058.The main campus of California State Polytechnic University, Pomona, also known as Cal Poly Pomona or simply as Cal Poly, lies mostly within Pomona's city limits. Some campus areas are also located in San Dimas and Walnut.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.063758824,6782.028673000001,CA
8,Torrance,California,CA,33.8346,-118.3417,143592,6037,Los Angeles County,10105722,2701,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Torrance is a coastal U.S. city in the South Bay (southwestern) region of Los Angeles County, California, in the Los Angeles metropolitan area. Torrance has 1.5 miles (2.4 km) of beaches on the Pacific Ocean. Torrance has a moderate year-round climate with warm temperatures, daily sea breezes, low humidity, and an average rainfall of 12.55 inches per year. It is immediately bordered by Lomita to the east, Gardena and Lawndale to the north, Redondo Beach and the Pacific Ocean to the west, and Rolling Hills and Palos Verdes Estates to the south.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.040068881,6782.028673000001,CA
9,Pasadena,California,CA,34.1597,-118.139,141029,6037,Los Angeles County,10105722,2371,America/Los_Angeles,49.275459999999995,50.724540000000005,48.4,26.5,7.9,0.2,14.3,0.2,61.53225870000001,17.0,24.0,7.8,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,79.3,11.2,9.3,0.2,61015,262,30798,129,30.9,2842.171989,67.83285746,2.3866556180000003,62.9,16.61,51.4,74.4,"Pasadena () is a city in Los Angeles County, California, United States, 11 miles (18 km) northeast of Downtown Los Angeles. It is the most populous city and the primary cultural center of the San Gabriel Valley. With its substantial downtown area, observers consider it as either a suburb of nearby Los Angeles, or as a significant urban center in its own right.Its population was 137,122 at the 2010 census and an estimated 141,029 in 2019, making it the 41st largest city in California and the ninth-largest city in Los Angeles County. Pasadena was incorporated on June 19, 1886, becoming one of the first cities to be incorporated in what is now Los Angeles County, following the city of Los Angeles (April 4, 1850).Pasadena is known for hosting the annual Rose Bowl football game and Tournament of Roses Parade.",6123490,34.545604600000004,41.3405481,12.20227788,8.90861381,22.28247016,69.23589547,5.68137129,51.91701294,0.605218358,1,22.41333625,71.75722154,0.055417269000000005,6782.028673000001,CA
