city,state_name_x,state_id,county,lat,lng,city_population,county_fips,county_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_voters,pct_poverty,pct_child_poverty,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,covid_deaths_per_100k,covid_case_to_death_pct,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,cvap,foreignborn_pct,age29andunder_pct,age65andolder_pct,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax,size_feature,diversity_feature,education_feature,wealth_feature,home_price_feature,urban_feature,political_feature,weather_feature,covid_feature,profession_feature,transportation_feature,poverty_feature,age_feature
New York,New York,NY,New York County,0.69387813,1.429400477,20.19092773,0.737466967,0.029153131,5.385943313,-2.15409199,2.15409199,0.172492648,-0.418998742,0.077860593,-0.293150818,0.749546178,-0.600089319,0.499349782,0.571216377,0.455596755,-0.237150891,3.081654639,-1.614326987,-1.905220343,-2.18485933,-2.22826284,-8.977918007,-4.308925967,9.030215234,10.31041218,3.36136877,1.158957792,0.756454916,-1.243366012,1.02806167,0.652987536,1.11738866,0.447996633,4.847562854,2.107490334,1.254346342,0.213855445,0.126397732,-0.045392617,-0.332184408,0.538662275,-0.014854683,-0.631043395,0.108010003,1.128118274,-1.079337051,0.291606087,-0.299904527,-0.038471284,-2.815336731,-1.660722764,-3.802374304,-0.89301378,-0.709361204,-2.238047658,2.309192543,-0.964077834,3.197045285,20.19092773,1.009173053,1.450340263,4.847562854,3.197045285,-0.709361204,2.309192543,-0.631043395,0.218450951,0.756454916,9.868185855,0.490979321,0.844535777
Los Angeles,California,CA,Los Angeles County,-0.546429462,-1.19592056,9.422179416,-1.022265397,3.666598351,0.970706446,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.366499069,0.716321361,9.422179416,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Long Beach,California,CA,Los Angeles County,-0.605953068,-1.181797077,0.730181925,-1.022265397,3.666598351,1.117307267,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,0.05217424,0.716321361,0.730181925,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Santa Clarita,California,CA,Los Angeles County,-0.489205374,-1.20120875,0.113184323,-1.022265397,3.666598351,-0.284006652,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-1.193736317,0.716321361,0.113184323,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Glendale,California,CA,Los Angeles County,-0.533631321,-1.186477362,0.079384632,-1.022265397,3.666598351,0.524968728,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.981287558,0.716321361,0.079384632,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Lancaster,California,CA,Los Angeles County,-0.437183477,-1.182257433,-0.023680207,-1.022265397,3.666598351,-0.590859382,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.369376844,0.716321361,-0.023680207,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Palmdale,California,CA,Los Angeles County,-0.455862354,-1.178149642,-0.02991323,-1.022265397,3.666598351,-0.638934955,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.741695612,0.716321361,-0.02991323,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Pomona,California,CA,Los Angeles County,-0.556871538,-1.157899886,-0.038286538,-1.022265397,3.666598351,0.538619816,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.029083897,0.716321361,-0.038286538,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Torrance,California,CA,Los Angeles County,-0.59907336,-1.192078359,-0.058302895,-1.022265397,3.666598351,0.629429232,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.833728609,0.716321361,-0.058302895,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
Pasadena,California,CA,Los Angeles County,-0.537796842,-1.180115008,-0.064637248,-1.022265397,3.666598351,0.433565787,0.10281022,-0.10281022,1.394765806,-1.424526474,-0.318397723,-0.212720789,1.104617694,0.086146591,-1.178768305,0.508167616,0.579071128,0.617567745,-0.252855678,0.365495459,0.107421179,-0.286503577,0.39476361,-0.417919867,0.067961102,0.353429523,0.125670666,0.310698137,0.246262256,-0.305132873,-0.512137162,1.89390616,0.652987536,-0.109254513,-1.415590556,-0.186502966,-1.377562732,1.064815493,0.213855445,0.126397732,-0.045392617,0.385364779,-0.94768258,0.2976509,0.456747901,3.609940668,1.649959367,0.046303039,-0.402448989,0.675539556,1.521564565,0.208434499,-0.217525905,-0.750727573,-0.821541925,-0.709361204,-1.314843151,1.283197568,-0.312410375,0.716321361,-0.064637248,0.914188181,-1.041128101,-0.186502966,0.716321361,-0.709361204,1.283197568,0.456747901,0.218450951,-0.305132873,0.321109757,0.569665022,-0.186112194
